Entity,Date,Stringency Index (OxBSG)
Slovenia,2020-01-01,0.0
Slovenia,2020-01-02,0.0
Slovenia,2020-01-03,0.0
Slovenia,2020-01-04,0.0
Slovenia,2020-01-05,0.0
Slovenia,2020-01-06,0.0
Slovenia,2020-01-07,0.0
Slovenia,2020-01-08,0.0
Slovenia,2020-01-09,0.0
Slovenia,2020-01-10,0.0
Slovenia,2020-01-11,0.0
Slovenia,2020-01-12,0.0
Slovenia,2020-01-13,0.0
Slovenia,2020-01-14,0.0
Slovenia,2020-01-15,0.0
Slovenia,2020-01-16,0.0
Slovenia,2020-01-17,0.0
Slovenia,2020-01-18,0.0
Slovenia,2020-01-19,0.0
Slovenia,2020-01-20,0.0
Slovenia,2020-01-21,0.0
Slovenia,2020-01-22,0.0
Slovenia,2020-01-23,0.0
Slovenia,2020-01-24,0.0
Slovenia,2020-01-25,0.0
Slovenia,2020-01-26,0.0
Slovenia,2020-01-27,0.0
Slovenia,2020-01-28,0.0
Slovenia,2020-01-29,0.0
Slovenia,2020-01-30,0.0
Slovenia,2020-01-31,0.0
Slovenia,2020-02-01,0.0
Slovenia,2020-02-02,0.0
Slovenia,2020-02-03,0.0
Slovenia,2020-02-04,0.0
Slovenia,2020-02-05,0.0
Slovenia,2020-02-06,0.0
Slovenia,2020-02-07,0.0
Slovenia,2020-02-08,0.0
Slovenia,2020-02-09,0.0
Slovenia,2020-02-10,0.0
Slovenia,2020-02-11,0.0
Slovenia,2020-02-12,0.0
Slovenia,2020-02-13,0.0
Slovenia,2020-02-14,0.0
Slovenia,2020-02-15,0.0
Slovenia,2020-02-16,0.0
Slovenia,2020-02-17,0.0
Slovenia,2020-02-18,0.0
Slovenia,2020-02-19,0.0
Slovenia,2020-02-20,0.0
Slovenia,2020-02-21,0.0
Slovenia,2020-02-22,0.0
Slovenia,2020-02-23,0.0
Slovenia,2020-02-24,0.0
Slovenia,2020-02-25,0.0
Slovenia,2020-02-26,0.0
Slovenia,2020-02-27,0.0
Slovenia,2020-02-28,0.0
Slovenia,2020-02-29,0.0
Slovenia,2020-03-01,0.0
Slovenia,2020-03-02,0.0
Slovenia,2020-03-03,0.0
Slovenia,2020-03-04,11.11
Slovenia,2020-03-05,11.11
Slovenia,2020-03-06,11.11
Slovenia,2020-03-07,16.67
Slovenia,2020-03-08,16.67
Slovenia,2020-03-09,16.67
Slovenia,2020-03-10,25.0
Slovenia,2020-03-11,25.0
Slovenia,2020-03-12,25.0
Slovenia,2020-03-13,25.0
Slovenia,2020-03-14,28.7
Slovenia,2020-03-15,28.7
Slovenia,2020-03-16,50.93
Slovenia,2020-03-17,50.93
Slovenia,2020-03-18,50.93
Slovenia,2020-03-19,67.59
Slovenia,2020-03-20,78.7
Slovenia,2020-03-21,78.7
Slovenia,2020-03-22,78.7
Slovenia,2020-03-23,78.7
Slovenia,2020-03-24,78.7
Slovenia,2020-03-25,78.7
Slovenia,2020-03-26,78.7
Slovenia,2020-03-27,78.7
Slovenia,2020-03-28,78.7
Slovenia,2020-03-29,78.7
Slovenia,2020-03-30,89.81
Slovenia,2020-03-31,89.81
Slovenia,2020-04-01,89.81
Slovenia,2020-04-02,89.81
Slovenia,2020-04-03,89.81
Slovenia,2020-04-04,89.81
Slovenia,2020-04-05,89.81
Slovenia,2020-04-06,89.81
Slovenia,2020-04-07,89.81
Slovenia,2020-04-08,89.81
Slovenia,2020-04-09,89.81
Slovenia,2020-04-10,89.81
Slovenia,2020-04-11,89.81
Slovenia,2020-04-12,89.81
Slovenia,2020-04-13,89.81
Slovenia,2020-04-14,89.81
Slovenia,2020-04-15,89.81
Slovenia,2020-04-16,89.81
Slovenia,2020-04-17,89.81
Slovenia,2020-04-18,89.81
Slovenia,2020-04-19,89.81
Slovenia,2020-04-20,86.11
Slovenia,2020-04-21,86.11
Slovenia,2020-04-22,86.11
Slovenia,2020-04-23,86.11
Slovenia,2020-04-24,86.11
Slovenia,2020-04-25,86.11
Slovenia,2020-04-26,86.11
Slovenia,2020-04-27,86.11
Slovenia,2020-04-28,86.11
Slovenia,2020-04-29,86.11
Slovenia,2020-04-30,75.0
Slovenia,2020-05-01,75.0
Slovenia,2020-05-02,75.0
Slovenia,2020-05-03,75.0
Slovenia,2020-05-04,75.0
Slovenia,2020-05-05,75.0
Slovenia,2020-05-06,75.0
Slovenia,2020-05-07,75.0
Slovenia,2020-05-08,75.0
Slovenia,2020-05-09,75.0
Slovenia,2020-05-10,75.0
Slovenia,2020-05-11,63.89
Slovenia,2020-05-12,63.89
Slovenia,2020-05-13,63.89
Slovenia,2020-05-14,56.02
Slovenia,2020-05-15,56.02
Slovenia,2020-05-16,56.02
Slovenia,2020-05-17,56.02
Slovenia,2020-05-18,44.91
Slovenia,2020-05-19,44.91
Slovenia,2020-05-20,44.91
Slovenia,2020-05-21,44.91
Slovenia,2020-05-22,44.91
Slovenia,2020-05-23,44.91
Slovenia,2020-05-24,44.91
Slovenia,2020-05-25,44.91
Slovenia,2020-05-26,44.91
Slovenia,2020-05-27,44.91
Slovenia,2020-05-28,44.91
Slovenia,2020-05-29,44.91
Slovenia,2020-05-30,44.91
Slovenia,2020-05-31,44.91
Slovenia,2020-06-01,44.91
Slovenia,2020-06-02,43.52
Slovenia,2020-06-03,36.11
Slovenia,2020-06-04,36.11
Slovenia,2020-06-05,36.11
Slovenia,2020-06-06,36.11
Slovenia,2020-06-07,36.11
Slovenia,2020-06-08,36.11
Slovenia,2020-06-09,36.11
Slovenia,2020-06-10,36.11
Slovenia,2020-06-11,36.11
Slovenia,2020-06-12,36.11
Slovenia,2020-06-13,36.11
Slovenia,2020-06-14,36.11
Slovenia,2020-06-15,36.11
Slovenia,2020-06-16,36.11
Slovenia,2020-06-17,36.11
Slovenia,2020-06-18,36.11
Slovenia,2020-06-19,36.11
Slovenia,2020-06-20,36.11
Slovenia,2020-06-21,36.11
Slovenia,2020-06-22,36.11
Slovenia,2020-06-23,36.11
Slovenia,2020-06-24,36.11
Slovenia,2020-06-25,36.11
Slovenia,2020-06-26,36.11
Slovenia,2020-06-27,36.11
Slovenia,2020-06-28,36.11
Slovenia,2020-06-29,36.11
Slovenia,2020-06-30,36.11
Slovenia,2020-07-01,36.11
Slovenia,2020-07-02,36.11
Slovenia,2020-07-03,36.11
Slovenia,2020-07-04,36.11
Slovenia,2020-07-05,36.11
Slovenia,2020-07-06,36.11
Slovenia,2020-07-07,36.11
Slovenia,2020-07-08,36.11
Slovenia,2020-07-09,36.11
Slovenia,2020-07-10,36.11
Slovenia,2020-07-11,36.11
