Entity,Date,Stringency Index (OxBSG)
Spain,2020-01-01,0.0
Spain,2020-01-02,0.0
Spain,2020-01-03,0.0
Spain,2020-01-04,0.0
Spain,2020-01-05,0.0
Spain,2020-01-06,0.0
Spain,2020-01-07,0.0
Spain,2020-01-08,0.0
Spain,2020-01-09,0.0
Spain,2020-01-10,0.0
Spain,2020-01-11,0.0
Spain,2020-01-12,0.0
Spain,2020-01-13,0.0
Spain,2020-01-14,0.0
Spain,2020-01-15,0.0
Spain,2020-01-16,0.0
Spain,2020-01-17,0.0
Spain,2020-01-18,0.0
Spain,2020-01-19,0.0
Spain,2020-01-20,0.0
Spain,2020-01-21,0.0
Spain,2020-01-22,0.0
Spain,2020-01-23,0.0
Spain,2020-01-24,0.0
Spain,2020-01-25,0.0
Spain,2020-01-26,0.0
Spain,2020-01-27,0.0
Spain,2020-01-28,0.0
Spain,2020-01-29,0.0
Spain,2020-01-30,0.0
Spain,2020-01-31,11.11
Spain,2020-02-01,11.11
Spain,2020-02-02,11.11
Spain,2020-02-03,11.11
Spain,2020-02-04,11.11
Spain,2020-02-05,11.11
Spain,2020-02-06,11.11
Spain,2020-02-07,11.11
Spain,2020-02-08,11.11
Spain,2020-02-09,11.11
Spain,2020-02-10,11.11
Spain,2020-02-11,11.11
Spain,2020-02-12,11.11
Spain,2020-02-13,11.11
Spain,2020-02-14,11.11
Spain,2020-02-15,11.11
Spain,2020-02-16,11.11
Spain,2020-02-17,11.11
Spain,2020-02-18,11.11
Spain,2020-02-19,11.11
Spain,2020-02-20,11.11
Spain,2020-02-21,11.11
Spain,2020-02-22,11.11
Spain,2020-02-23,11.11
Spain,2020-02-24,11.11
Spain,2020-02-25,11.11
Spain,2020-02-26,11.11
Spain,2020-02-27,11.11
Spain,2020-02-28,11.11
Spain,2020-02-29,11.11
Spain,2020-03-01,11.11
Spain,2020-03-02,11.11
Spain,2020-03-03,11.11
Spain,2020-03-04,11.11
Spain,2020-03-05,11.11
Spain,2020-03-06,11.11
Spain,2020-03-07,11.11
Spain,2020-03-08,11.11
Spain,2020-03-09,25.0
Spain,2020-03-10,45.83
Spain,2020-03-11,45.83
Spain,2020-03-12,45.83
Spain,2020-03-13,45.83
Spain,2020-03-14,67.13
Spain,2020-03-15,67.13
Spain,2020-03-16,68.98
Spain,2020-03-17,71.76
Spain,2020-03-18,71.76
Spain,2020-03-19,71.76
Spain,2020-03-20,71.76
Spain,2020-03-21,71.76
Spain,2020-03-22,71.76
Spain,2020-03-23,71.76
Spain,2020-03-24,71.76
Spain,2020-03-25,71.76
Spain,2020-03-26,71.76
Spain,2020-03-27,71.76
Spain,2020-03-28,71.76
Spain,2020-03-29,71.76
Spain,2020-03-30,85.19
Spain,2020-03-31,85.19
Spain,2020-04-01,85.19
Spain,2020-04-02,85.19
Spain,2020-04-03,85.19
Spain,2020-04-04,85.19
Spain,2020-04-05,85.19
Spain,2020-04-06,85.19
Spain,2020-04-07,85.19
Spain,2020-04-08,85.19
Spain,2020-04-09,85.19
Spain,2020-04-10,85.19
Spain,2020-04-11,85.19
Spain,2020-04-12,85.19
Spain,2020-04-13,85.19
Spain,2020-04-14,85.19
Spain,2020-04-15,85.19
Spain,2020-04-16,85.19
Spain,2020-04-17,85.19
Spain,2020-04-18,85.19
Spain,2020-04-19,85.19
Spain,2020-04-20,85.19
Spain,2020-04-21,85.19
Spain,2020-04-22,85.19
Spain,2020-04-23,85.19
Spain,2020-04-24,85.19
Spain,2020-04-25,85.19
Spain,2020-04-26,85.19
Spain,2020-04-27,85.19
Spain,2020-04-28,85.19
Spain,2020-04-29,85.19
Spain,2020-04-30,85.19
Spain,2020-05-01,85.19
Spain,2020-05-02,85.19
Spain,2020-05-03,85.19
Spain,2020-05-04,81.94
Spain,2020-05-05,81.94
Spain,2020-05-06,81.94
Spain,2020-05-07,81.94
