Entity,Date,Stringency Index (OxBSG)
Tajikistan,2020-01-01,0.0
Tajikistan,2020-01-02,0.0
Tajikistan,2020-01-03,0.0
Tajikistan,2020-01-04,0.0
Tajikistan,2020-01-05,0.0
Tajikistan,2020-01-06,0.0
Tajikistan,2020-01-07,0.0
Tajikistan,2020-01-08,0.0
Tajikistan,2020-01-09,0.0
Tajikistan,2020-01-10,0.0
Tajikistan,2020-01-11,0.0
Tajikistan,2020-01-12,0.0
Tajikistan,2020-01-13,0.0
Tajikistan,2020-01-14,0.0
Tajikistan,2020-01-15,0.0
Tajikistan,2020-01-16,0.0
Tajikistan,2020-01-17,0.0
Tajikistan,2020-01-18,0.0
Tajikistan,2020-01-19,0.0
Tajikistan,2020-01-20,0.0
Tajikistan,2020-01-21,5.56
Tajikistan,2020-01-22,5.56
Tajikistan,2020-01-23,5.56
Tajikistan,2020-01-24,5.56
Tajikistan,2020-01-25,5.56
Tajikistan,2020-01-26,5.56
Tajikistan,2020-01-27,5.56
Tajikistan,2020-01-28,5.56
Tajikistan,2020-01-29,5.56
Tajikistan,2020-01-30,5.56
Tajikistan,2020-01-31,5.56
Tajikistan,2020-02-01,5.56
Tajikistan,2020-02-02,5.56
Tajikistan,2020-02-03,11.11
Tajikistan,2020-02-04,11.11
Tajikistan,2020-02-05,11.11
Tajikistan,2020-02-06,11.11
Tajikistan,2020-02-07,11.11
Tajikistan,2020-02-08,11.11
Tajikistan,2020-02-09,11.11
Tajikistan,2020-02-10,11.11
Tajikistan,2020-02-11,11.11
Tajikistan,2020-02-12,11.11
Tajikistan,2020-02-13,11.11
Tajikistan,2020-02-14,11.11
Tajikistan,2020-02-15,11.11
Tajikistan,2020-02-16,11.11
Tajikistan,2020-02-17,11.11
Tajikistan,2020-02-18,11.11
Tajikistan,2020-02-19,11.11
Tajikistan,2020-02-20,11.11
Tajikistan,2020-02-21,11.11
Tajikistan,2020-02-22,11.11
Tajikistan,2020-02-23,11.11
Tajikistan,2020-02-24,11.11
Tajikistan,2020-02-25,11.11
Tajikistan,2020-02-26,11.11
Tajikistan,2020-02-27,11.11
Tajikistan,2020-02-28,11.11
Tajikistan,2020-02-29,11.11
Tajikistan,2020-03-01,11.11
Tajikistan,2020-03-02,11.11
Tajikistan,2020-03-03,13.89
Tajikistan,2020-03-04,13.89
Tajikistan,2020-03-05,13.89
Tajikistan,2020-03-06,13.89
Tajikistan,2020-03-07,13.89
Tajikistan,2020-03-08,13.89
Tajikistan,2020-03-09,13.89
Tajikistan,2020-03-10,13.89
Tajikistan,2020-03-11,13.89
Tajikistan,2020-03-12,13.89
Tajikistan,2020-03-13,13.89
Tajikistan,2020-03-14,13.89
Tajikistan,2020-03-15,13.89
Tajikistan,2020-03-16,13.89
Tajikistan,2020-03-17,13.89
Tajikistan,2020-03-18,19.44
Tajikistan,2020-03-19,19.44
Tajikistan,2020-03-20,19.44
Tajikistan,2020-03-21,19.44
Tajikistan,2020-03-22,19.44
Tajikistan,2020-03-23,19.44
Tajikistan,2020-03-24,19.44
Tajikistan,2020-03-25,19.44
Tajikistan,2020-03-26,19.44
Tajikistan,2020-03-27,19.44
Tajikistan,2020-03-28,19.44
Tajikistan,2020-03-29,19.44
Tajikistan,2020-03-30,19.44
Tajikistan,2020-03-31,19.44
Tajikistan,2020-04-01,19.44
Tajikistan,2020-04-02,19.44
Tajikistan,2020-04-03,19.44
Tajikistan,2020-04-04,19.44
Tajikistan,2020-04-05,19.44
Tajikistan,2020-04-06,19.44
Tajikistan,2020-04-07,19.44
Tajikistan,2020-04-08,19.44
Tajikistan,2020-04-09,19.44
Tajikistan,2020-04-10,22.22
Tajikistan,2020-04-11,22.22
Tajikistan,2020-04-12,22.22
Tajikistan,2020-04-13,22.22
Tajikistan,2020-04-14,22.22
Tajikistan,2020-04-15,22.22
Tajikistan,2020-04-16,22.22
Tajikistan,2020-04-17,22.22
Tajikistan,2020-04-18,33.33
Tajikistan,2020-04-19,33.33
Tajikistan,2020-04-20,33.33
Tajikistan,2020-04-21,33.33
Tajikistan,2020-04-22,33.33
Tajikistan,2020-04-23,33.33
Tajikistan,2020-04-24,33.33
Tajikistan,2020-04-25,40.74
Tajikistan,2020-04-26,40.74
Tajikistan,2020-04-27,46.3
Tajikistan,2020-04-28,46.3
