Entity,Date,Stringency Index (OxBSG)
Thailand,2020-01-01,0.0
Thailand,2020-01-02,0.0
Thailand,2020-01-03,0.0
Thailand,2020-01-04,0.0
Thailand,2020-01-05,0.0
Thailand,2020-01-06,0.0
Thailand,2020-01-07,0.0
Thailand,2020-01-08,0.0
Thailand,2020-01-09,0.0
Thailand,2020-01-10,0.0
Thailand,2020-01-11,0.0
Thailand,2020-01-12,0.0
Thailand,2020-01-13,0.0
Thailand,2020-01-14,0.0
Thailand,2020-01-15,0.0
Thailand,2020-01-16,0.0
Thailand,2020-01-17,0.0
Thailand,2020-01-18,0.0
Thailand,2020-01-19,0.0
Thailand,2020-01-20,0.0
Thailand,2020-01-21,0.0
Thailand,2020-01-22,0.0
Thailand,2020-01-23,0.0
Thailand,2020-01-24,0.0
Thailand,2020-01-25,0.0
Thailand,2020-01-26,0.0
Thailand,2020-01-27,0.0
Thailand,2020-01-28,0.0
Thailand,2020-01-29,0.0
Thailand,2020-01-30,0.0
Thailand,2020-01-31,0.0
Thailand,2020-02-01,0.0
Thailand,2020-02-02,0.0
Thailand,2020-02-03,0.0
Thailand,2020-02-04,0.0
Thailand,2020-02-05,0.0
Thailand,2020-02-06,0.0
Thailand,2020-02-07,0.0
Thailand,2020-02-08,0.0
Thailand,2020-02-09,0.0
Thailand,2020-02-10,0.0
Thailand,2020-02-11,0.0
Thailand,2020-02-12,0.0
Thailand,2020-02-13,0.0
Thailand,2020-02-14,0.0
Thailand,2020-02-15,0.0
Thailand,2020-02-16,0.0
Thailand,2020-02-17,0.0
Thailand,2020-02-18,0.0
Thailand,2020-02-19,0.0
Thailand,2020-02-20,0.0
Thailand,2020-02-21,0.0
Thailand,2020-02-22,0.0
Thailand,2020-02-23,0.0
Thailand,2020-02-24,0.0
Thailand,2020-02-25,0.0
Thailand,2020-02-26,0.0
Thailand,2020-02-27,0.0
Thailand,2020-02-28,0.0
Thailand,2020-02-29,0.0
Thailand,2020-03-01,0.0
Thailand,2020-03-02,0.0
Thailand,2020-03-03,0.0
Thailand,2020-03-04,0.0
Thailand,2020-03-05,0.0
Thailand,2020-03-06,16.67
Thailand,2020-03-07,16.67
Thailand,2020-03-08,16.67
Thailand,2020-03-09,16.67
Thailand,2020-03-10,25.0
Thailand,2020-03-11,25.0
Thailand,2020-03-12,25.0
Thailand,2020-03-13,25.0
Thailand,2020-03-14,25.0
Thailand,2020-03-15,26.85
Thailand,2020-03-16,33.8
Thailand,2020-03-17,39.35
Thailand,2020-03-18,48.61
Thailand,2020-03-19,48.61
Thailand,2020-03-20,48.61
Thailand,2020-03-21,52.31
Thailand,2020-03-22,52.31
Thailand,2020-03-23,52.31
Thailand,2020-03-24,52.31
Thailand,2020-03-25,57.87
Thailand,2020-03-26,68.06
Thailand,2020-03-27,68.06
Thailand,2020-03-28,68.06
Thailand,2020-03-29,68.06
Thailand,2020-03-30,68.06
Thailand,2020-03-31,68.06
Thailand,2020-04-01,68.06
Thailand,2020-04-02,68.06
Thailand,2020-04-03,76.85
Thailand,2020-04-04,76.85
Thailand,2020-04-05,76.85
Thailand,2020-04-06,76.85
Thailand,2020-04-07,76.85
Thailand,2020-04-08,76.85
Thailand,2020-04-09,76.85
Thailand,2020-04-10,76.85
Thailand,2020-04-11,76.85
Thailand,2020-04-12,76.85
Thailand,2020-04-13,76.85
Thailand,2020-04-14,76.85
Thailand,2020-04-15,76.85
Thailand,2020-04-16,76.85
Thailand,2020-04-17,76.85
Thailand,2020-04-18,76.85
Thailand,2020-04-19,76.85
Thailand,2020-04-20,76.85
Thailand,2020-04-21,76.85
Thailand,2020-04-22,76.85
Thailand,2020-04-23,76.85
Thailand,2020-04-24,76.85
Thailand,2020-04-25,76.85
Thailand,2020-04-26,76.85
Thailand,2020-04-27,76.85
Thailand,2020-04-28,76.85
Thailand,2020-04-29,76.85
Thailand,2020-04-30,76.85
Thailand,2020-05-01,76.85
Thailand,2020-05-02,76.85
Thailand,2020-05-03,75.0
Thailand,2020-05-04,75.0
Thailand,2020-05-05,75.0
Thailand,2020-05-06,75.0
Thailand,2020-05-07,75.0
Thailand,2020-05-08,75.0
Thailand,2020-05-09,75.0
Thailand,2020-05-10,75.0
Thailand,2020-05-11,75.0
Thailand,2020-05-12,75.0
Thailand,2020-05-13,75.0
Thailand,2020-05-14,75.0
Thailand,2020-05-15,75.0
Thailand,2020-05-16,75.0
Thailand,2020-05-17,73.15
Thailand,2020-05-18,73.15
Thailand,2020-05-19,75.0
Thailand,2020-05-20,75.0
Thailand,2020-05-21,75.0
Thailand,2020-05-22,75.0
Thailand,2020-05-23,75.0
Thailand,2020-05-24,75.0
Thailand,2020-05-25,75.0
Thailand,2020-05-26,75.0
Thailand,2020-05-27,75.0
Thailand,2020-05-28,75.0
Thailand,2020-05-29,75.0
Thailand,2020-05-30,75.0
Thailand,2020-05-31,75.0
Thailand,2020-06-01,75.0
Thailand,2020-06-02,75.0
Thailand,2020-06-03,75.0
Thailand,2020-06-04,75.0
Thailand,2020-06-05,75.0
Thailand,2020-06-06,62.96
Thailand,2020-06-07,62.96
Thailand,2020-06-08,62.96
Thailand,2020-06-09,62.96
Thailand,2020-06-10,62.96
Thailand,2020-06-11,62.96
Thailand,2020-06-12,62.96
Thailand,2020-06-13,62.96
Thailand,2020-06-14,62.96
Thailand,2020-06-15,59.26
Thailand,2020-06-16,59.26
Thailand,2020-06-17,59.26
Thailand,2020-06-18,59.26
Thailand,2020-06-19,59.26
Thailand,2020-06-20,59.26
Thailand,2020-06-21,59.26
Thailand,2020-06-22,59.26
Thailand,2020-06-23,59.26
Thailand,2020-06-24,59.26
Thailand,2020-06-25,59.26
Thailand,2020-06-26,59.26
Thailand,2020-06-27,59.26
Thailand,2020-06-28,59.26
Thailand,2020-06-29,59.26
Thailand,2020-06-30,59.26
Thailand,2020-07-01,49.07
Thailand,2020-07-02,49.07
Thailand,2020-07-03,49.07
Thailand,2020-07-04,49.07
Thailand,2020-07-05,49.07
Thailand,2020-07-06,49.07
Thailand,2020-07-07,49.07
Thailand,2020-07-08,49.07
Thailand,2020-07-09,49.07
Thailand,2020-07-10,49.07
Thailand,2020-07-11,49.07
Thailand,2020-07-12,49.07
Thailand,2020-07-13,49.07
Thailand,2020-07-14,49.07
Thailand,2020-07-15,49.07
Thailand,2020-07-16,49.07
Thailand,2020-07-17,49.07
Thailand,2020-07-18,49.07
Thailand,2020-07-19,49.07
Thailand,2020-07-20,49.07
Thailand,2020-07-21,49.07
Thailand,2020-07-22,49.07
Thailand,2020-07-23,49.07
Thailand,2020-07-24,49.07
Thailand,2020-07-25,49.07
Thailand,2020-07-26,49.07
Thailand,2020-07-27,49.07
Thailand,2020-07-28,49.07
Thailand,2020-07-29,49.07
Thailand,2020-07-30,49.07
Thailand,2020-07-31,49.07
Thailand,2020-08-01,49.07
Thailand,2020-08-02,49.07
Thailand,2020-08-03,49.07
Thailand,2020-08-04,49.07
Thailand,2020-08-05,49.07
Thailand,2020-08-06,49.07
Thailand,2020-08-07,49.07
Thailand,2020-08-08,49.07
Thailand,2020-08-09,49.07
Thailand,2020-08-10,49.07
Thailand,2020-08-11,49.07
Thailand,2020-08-12,49.07
Thailand,2020-08-13,49.07
Thailand,2020-08-14,46.3
Thailand,2020-08-15,46.3
Thailand,2020-08-16,46.3
Thailand,2020-08-17,46.3
Thailand,2020-08-18,46.3
Thailand,2020-08-19,46.3
Thailand,2020-08-20,46.3
Thailand,2020-08-21,46.3
Thailand,2020-08-22,46.3
Thailand,2020-08-23,46.3
Thailand,2020-08-24,46.3
Thailand,2020-08-25,46.3
Thailand,2020-08-26,46.3
Thailand,2020-08-27,46.3
Thailand,2020-08-28,46.3
Thailand,2020-08-29,46.3
Thailand,2020-08-30,46.3
Thailand,2020-08-31,46.3
Thailand,2020-09-01,46.3
Thailand,2020-09-02,46.3
Thailand,2020-09-03,46.3
Thailand,2020-09-04,46.3
Thailand,2020-09-05,46.3
Thailand,2020-09-06,46.3
Thailand,2020-09-07,40.74
Thailand,2020-09-08,40.74
Thailand,2020-09-09,40.74
Thailand,2020-09-10,40.74
Thailand,2020-09-11,40.74
Thailand,2020-09-12,40.74
Thailand,2020-09-13,40.74
Thailand,2020-09-14,40.74
Thailand,2020-09-15,40.74
Thailand,2020-09-16,40.74
Thailand,2020-09-17,40.74
Thailand,2020-09-18,40.74
Thailand,2020-09-19,40.74
Thailand,2020-09-20,40.74
Thailand,2020-09-21,40.74
Thailand,2020-09-22,43.52
Thailand,2020-09-23,43.52
Thailand,2020-09-24,43.52
Thailand,2020-09-25,43.52
Thailand,2020-09-26,43.52
Thailand,2020-09-27,43.52
Thailand,2020-09-28,43.52
Thailand,2020-09-29,43.52
Thailand,2020-09-30,43.52
Thailand,2020-10-01,43.52
Thailand,2020-10-02,43.52
Thailand,2020-10-03,43.52
Thailand,2020-10-04,43.52
Thailand,2020-10-05,43.52
Thailand,2020-10-06,43.52
Thailand,2020-10-07,43.52
Thailand,2020-10-08,43.52
Thailand,2020-10-09,43.52
Thailand,2020-10-10,43.52
Thailand,2020-10-11,43.52
Thailand,2020-10-12,43.52
Thailand,2020-10-13,43.52
Thailand,2020-10-14,43.52
Thailand,2020-10-15,43.52
Thailand,2020-10-16,43.52
Thailand,2020-10-17,43.52
Thailand,2020-10-18,43.52
Thailand,2020-10-19,43.52
Thailand,2020-10-20,43.52
Thailand,2020-10-21,43.52
Thailand,2020-10-22,43.52
Thailand,2020-10-23,43.52
Thailand,2020-10-24,43.52
