Entity,Date,Stringency Index (OxBSG)
Uganda,2020-01-01,0.0
Uganda,2020-01-02,0.0
Uganda,2020-01-03,0.0
Uganda,2020-01-04,0.0
Uganda,2020-01-05,0.0
Uganda,2020-01-06,0.0
Uganda,2020-01-07,0.0
Uganda,2020-01-08,0.0
Uganda,2020-01-09,0.0
Uganda,2020-01-10,0.0
Uganda,2020-01-11,0.0
Uganda,2020-01-12,0.0
Uganda,2020-01-13,0.0
Uganda,2020-01-14,0.0
Uganda,2020-01-15,0.0
Uganda,2020-01-16,0.0
Uganda,2020-01-17,0.0
Uganda,2020-01-18,0.0
Uganda,2020-01-19,0.0
Uganda,2020-01-20,2.78
Uganda,2020-01-21,2.78
Uganda,2020-01-22,2.78
Uganda,2020-01-23,2.78
Uganda,2020-01-24,2.78
Uganda,2020-01-25,2.78
Uganda,2020-01-26,2.78
Uganda,2020-01-27,2.78
Uganda,2020-01-28,2.78
Uganda,2020-01-29,13.89
Uganda,2020-01-30,13.89
Uganda,2020-01-31,13.89
Uganda,2020-02-01,13.89
Uganda,2020-02-02,13.89
Uganda,2020-02-03,13.89
Uganda,2020-02-04,13.89
Uganda,2020-02-05,13.89
Uganda,2020-02-06,16.67
Uganda,2020-02-07,16.67
Uganda,2020-02-08,16.67
Uganda,2020-02-09,16.67
Uganda,2020-02-10,16.67
Uganda,2020-02-11,16.67
Uganda,2020-02-12,16.67
Uganda,2020-02-13,16.67
Uganda,2020-02-14,16.67
Uganda,2020-02-15,16.67
Uganda,2020-02-16,16.67
Uganda,2020-02-17,16.67
Uganda,2020-02-18,16.67
Uganda,2020-02-19,16.67
Uganda,2020-02-20,16.67
Uganda,2020-02-21,16.67
Uganda,2020-02-22,16.67
Uganda,2020-02-23,16.67
Uganda,2020-02-24,16.67
Uganda,2020-02-25,16.67
Uganda,2020-02-26,16.67
Uganda,2020-02-27,16.67
Uganda,2020-02-28,16.67
Uganda,2020-02-29,16.67
Uganda,2020-03-01,16.67
Uganda,2020-03-02,16.67
Uganda,2020-03-03,16.67
Uganda,2020-03-04,16.67
Uganda,2020-03-05,16.67
Uganda,2020-03-06,16.67
Uganda,2020-03-07,16.67
Uganda,2020-03-08,16.67
Uganda,2020-03-09,16.67
Uganda,2020-03-10,16.67
Uganda,2020-03-11,16.67
Uganda,2020-03-12,16.67
Uganda,2020-03-13,16.67
Uganda,2020-03-14,16.67
Uganda,2020-03-15,16.67
Uganda,2020-03-16,16.67
Uganda,2020-03-17,16.67
Uganda,2020-03-18,33.33
Uganda,2020-03-19,33.33
Uganda,2020-03-20,44.44
Uganda,2020-03-21,44.44
Uganda,2020-03-22,47.22
Uganda,2020-03-23,47.22
Uganda,2020-03-24,47.22
Uganda,2020-03-25,69.44
Uganda,2020-03-26,69.44
Uganda,2020-03-27,69.44
Uganda,2020-03-28,69.44
Uganda,2020-03-29,69.44
Uganda,2020-03-30,93.52
Uganda,2020-03-31,93.52
Uganda,2020-04-01,93.52
Uganda,2020-04-02,93.52
Uganda,2020-04-03,93.52
Uganda,2020-04-04,93.52
Uganda,2020-04-05,93.52
Uganda,2020-04-06,93.52
Uganda,2020-04-07,93.52
Uganda,2020-04-08,93.52
Uganda,2020-04-09,93.52
Uganda,2020-04-10,93.52
Uganda,2020-04-11,93.52
Uganda,2020-04-12,93.52
Uganda,2020-04-13,93.52
Uganda,2020-04-14,93.52
Uganda,2020-04-15,93.52
Uganda,2020-04-16,93.52
Uganda,2020-04-17,93.52
Uganda,2020-04-18,93.52
Uganda,2020-04-19,93.52
Uganda,2020-04-20,93.52
Uganda,2020-04-21,93.52
Uganda,2020-04-22,93.52
Uganda,2020-04-23,93.52
Uganda,2020-04-24,93.52
Uganda,2020-04-25,93.52
Uganda,2020-04-26,93.52
Uganda,2020-04-27,93.52
Uganda,2020-04-28,93.52
Uganda,2020-04-29,93.52
Uganda,2020-04-30,93.52
Uganda,2020-05-01,93.52
Uganda,2020-05-02,93.52
Uganda,2020-05-03,93.52
Uganda,2020-05-04,93.52
Uganda,2020-05-05,93.52
Uganda,2020-05-06,89.81
Uganda,2020-05-07,89.81
Uganda,2020-05-08,89.81
Uganda,2020-05-09,89.81
Uganda,2020-05-10,89.81
Uganda,2020-05-11,89.81
Uganda,2020-05-12,89.81
Uganda,2020-05-13,89.81
Uganda,2020-05-14,89.81
Uganda,2020-05-15,89.81
Uganda,2020-05-16,89.81
Uganda,2020-05-17,89.81
Uganda,2020-05-18,86.11
Uganda,2020-05-19,86.11
Uganda,2020-05-20,86.11
Uganda,2020-05-21,86.11
Uganda,2020-05-22,86.11
Uganda,2020-05-23,86.11
Uganda,2020-05-24,86.11
Uganda,2020-05-25,86.11
Uganda,2020-05-26,80.56
Uganda,2020-05-27,80.56
Uganda,2020-05-28,80.56
Uganda,2020-05-29,80.56
Uganda,2020-05-30,80.56
Uganda,2020-05-31,80.56
Uganda,2020-06-01,80.56
Uganda,2020-06-02,80.56
Uganda,2020-06-03,80.56
Uganda,2020-06-04,77.78
Uganda,2020-06-05,77.78
Uganda,2020-06-06,77.78
Uganda,2020-06-07,77.78
Uganda,2020-06-08,77.78
Uganda,2020-06-09,77.78
Uganda,2020-06-10,77.78
Uganda,2020-06-11,77.78
Uganda,2020-06-12,84.26
Uganda,2020-06-13,84.26
Uganda,2020-06-14,84.26
Uganda,2020-06-15,84.26
Uganda,2020-06-16,84.26
Uganda,2020-06-17,84.26
Uganda,2020-06-18,84.26
Uganda,2020-06-19,84.26
Uganda,2020-06-20,84.26
Uganda,2020-06-21,84.26
Uganda,2020-06-22,87.04
Uganda,2020-06-23,87.04
Uganda,2020-06-24,87.04
Uganda,2020-06-25,87.04
Uganda,2020-06-26,87.04
Uganda,2020-06-27,87.04
