Entity,Date,Stringency Index (OxBSG)
Uruguay,2020-01-01,0.0
Uruguay,2020-01-02,0.0
Uruguay,2020-01-03,0.0
Uruguay,2020-01-04,0.0
Uruguay,2020-01-05,0.0
Uruguay,2020-01-06,0.0
Uruguay,2020-01-07,0.0
Uruguay,2020-01-08,0.0
Uruguay,2020-01-09,0.0
Uruguay,2020-01-10,0.0
Uruguay,2020-01-11,0.0
Uruguay,2020-01-12,0.0
Uruguay,2020-01-13,0.0
Uruguay,2020-01-14,0.0
Uruguay,2020-01-15,0.0
Uruguay,2020-01-16,0.0
Uruguay,2020-01-17,0.0
Uruguay,2020-01-18,0.0
Uruguay,2020-01-19,0.0
Uruguay,2020-01-20,0.0
Uruguay,2020-01-21,0.0
Uruguay,2020-01-22,0.0
Uruguay,2020-01-23,0.0
Uruguay,2020-01-24,0.0
Uruguay,2020-01-25,0.0
Uruguay,2020-01-26,0.0
Uruguay,2020-01-27,0.0
Uruguay,2020-01-28,0.0
Uruguay,2020-01-29,0.0
Uruguay,2020-01-30,0.0
Uruguay,2020-01-31,0.0
Uruguay,2020-02-01,0.0
Uruguay,2020-02-02,0.0
Uruguay,2020-02-03,0.0
Uruguay,2020-02-04,0.0
Uruguay,2020-02-05,0.0
Uruguay,2020-02-06,0.0
Uruguay,2020-02-07,0.0
Uruguay,2020-02-08,0.0
Uruguay,2020-02-09,0.0
Uruguay,2020-02-10,0.0
Uruguay,2020-02-11,0.0
Uruguay,2020-02-12,0.0
Uruguay,2020-02-13,0.0
Uruguay,2020-02-14,0.0
Uruguay,2020-02-15,0.0
Uruguay,2020-02-16,0.0
Uruguay,2020-02-17,0.0
Uruguay,2020-02-18,0.0
Uruguay,2020-02-19,0.0
Uruguay,2020-02-20,0.0
Uruguay,2020-02-21,0.0
Uruguay,2020-02-22,0.0
Uruguay,2020-02-23,0.0
Uruguay,2020-02-24,0.0
Uruguay,2020-02-25,0.0
Uruguay,2020-02-26,0.0
Uruguay,2020-02-27,0.0
Uruguay,2020-02-28,0.0
Uruguay,2020-02-29,0.0
Uruguay,2020-03-01,0.0
Uruguay,2020-03-02,0.0
Uruguay,2020-03-03,0.0
Uruguay,2020-03-04,0.0
Uruguay,2020-03-05,0.0
Uruguay,2020-03-06,0.0
Uruguay,2020-03-07,0.0
Uruguay,2020-03-08,0.0
Uruguay,2020-03-09,0.0
Uruguay,2020-03-10,0.0
Uruguay,2020-03-11,0.0
Uruguay,2020-03-12,0.0
Uruguay,2020-03-13,25.93
Uruguay,2020-03-14,48.15
Uruguay,2020-03-15,51.85
Uruguay,2020-03-16,54.63
Uruguay,2020-03-17,54.63
Uruguay,2020-03-18,54.63
Uruguay,2020-03-19,54.63
Uruguay,2020-03-20,54.63
Uruguay,2020-03-21,54.63
Uruguay,2020-03-22,54.63
Uruguay,2020-03-23,54.63
Uruguay,2020-03-24,57.41
Uruguay,2020-03-25,57.41
Uruguay,2020-03-26,57.41
Uruguay,2020-03-27,62.96
Uruguay,2020-03-28,62.96
Uruguay,2020-03-29,62.96
Uruguay,2020-03-30,62.96
Uruguay,2020-03-31,62.96
Uruguay,2020-04-01,68.52
Uruguay,2020-04-02,72.22
Uruguay,2020-04-03,72.22
Uruguay,2020-04-04,72.22
Uruguay,2020-04-05,72.22
Uruguay,2020-04-06,72.22
Uruguay,2020-04-07,72.22
Uruguay,2020-04-08,72.22
Uruguay,2020-04-09,72.22
Uruguay,2020-04-10,72.22
Uruguay,2020-04-11,72.22
Uruguay,2020-04-12,72.22
Uruguay,2020-04-13,62.96
Uruguay,2020-04-14,62.96
Uruguay,2020-04-15,62.96
Uruguay,2020-04-16,62.96
Uruguay,2020-04-17,62.96
Uruguay,2020-04-18,62.96
Uruguay,2020-04-19,62.96
Uruguay,2020-04-20,62.96
Uruguay,2020-04-21,62.96
Uruguay,2020-04-22,61.11
Uruguay,2020-04-23,61.11
Uruguay,2020-04-24,61.11
Uruguay,2020-04-25,61.11
Uruguay,2020-04-26,61.11
Uruguay,2020-04-27,61.11
Uruguay,2020-04-28,61.11
Uruguay,2020-04-29,61.11
Uruguay,2020-04-30,61.11
Uruguay,2020-05-01,61.11
Uruguay,2020-05-02,61.11
Uruguay,2020-05-03,61.11
Uruguay,2020-05-04,61.11
Uruguay,2020-05-05,61.11
Uruguay,2020-05-06,61.11
Uruguay,2020-05-07,61.11
Uruguay,2020-05-08,61.11
Uruguay,2020-05-09,61.11
Uruguay,2020-05-10,61.11
Uruguay,2020-05-11,61.11
Uruguay,2020-05-12,61.11
Uruguay,2020-05-13,61.11
Uruguay,2020-05-14,61.11
Uruguay,2020-05-15,61.11
Uruguay,2020-05-16,61.11
Uruguay,2020-05-17,61.11
Uruguay,2020-05-18,61.11
Uruguay,2020-05-19,61.11
Uruguay,2020-05-20,61.11
Uruguay,2020-05-21,61.11
Uruguay,2020-05-22,61.11
Uruguay,2020-05-23,61.11
Uruguay,2020-05-24,61.11
Uruguay,2020-05-25,61.11
Uruguay,2020-05-26,61.11
Uruguay,2020-05-27,61.11
Uruguay,2020-05-28,61.11
Uruguay,2020-05-29,61.11
