Entity,Date,Stringency Index (OxBSG)
Uzbekistan,2020-01-01,0.0
Uzbekistan,2020-01-02,0.0
Uzbekistan,2020-01-03,0.0
Uzbekistan,2020-01-04,0.0
Uzbekistan,2020-01-05,0.0
Uzbekistan,2020-01-06,0.0
Uzbekistan,2020-01-07,0.0
Uzbekistan,2020-01-08,0.0
Uzbekistan,2020-01-09,0.0
Uzbekistan,2020-01-10,0.0
Uzbekistan,2020-01-11,0.0
Uzbekistan,2020-01-12,0.0
Uzbekistan,2020-01-13,0.0
Uzbekistan,2020-01-14,0.0
Uzbekistan,2020-01-15,0.0
Uzbekistan,2020-01-16,0.0
Uzbekistan,2020-01-17,0.0
Uzbekistan,2020-01-18,0.0
Uzbekistan,2020-01-19,0.0
Uzbekistan,2020-01-20,0.0
Uzbekistan,2020-01-21,11.11
Uzbekistan,2020-01-22,11.11
Uzbekistan,2020-01-23,11.11
Uzbekistan,2020-01-24,11.11
Uzbekistan,2020-01-25,11.11
Uzbekistan,2020-01-26,11.11
Uzbekistan,2020-01-27,11.11
Uzbekistan,2020-01-28,11.11
Uzbekistan,2020-01-29,11.11
Uzbekistan,2020-01-30,11.11
Uzbekistan,2020-01-31,11.11
Uzbekistan,2020-02-01,11.11
Uzbekistan,2020-02-02,11.11
Uzbekistan,2020-02-03,11.11
Uzbekistan,2020-02-04,11.11
Uzbekistan,2020-02-05,11.11
Uzbekistan,2020-02-06,11.11
Uzbekistan,2020-02-07,11.11
Uzbekistan,2020-02-08,11.11
Uzbekistan,2020-02-09,11.11
Uzbekistan,2020-02-10,11.11
Uzbekistan,2020-02-11,11.11
Uzbekistan,2020-02-12,11.11
Uzbekistan,2020-02-13,11.11
Uzbekistan,2020-02-14,11.11
Uzbekistan,2020-02-15,11.11
Uzbekistan,2020-02-16,11.11
Uzbekistan,2020-02-17,11.11
Uzbekistan,2020-02-18,11.11
Uzbekistan,2020-02-19,11.11
Uzbekistan,2020-02-20,11.11
Uzbekistan,2020-02-21,11.11
Uzbekistan,2020-02-22,11.11
Uzbekistan,2020-02-23,11.11
Uzbekistan,2020-02-24,11.11
Uzbekistan,2020-02-25,11.11
Uzbekistan,2020-02-26,11.11
Uzbekistan,2020-02-27,11.11
Uzbekistan,2020-02-28,11.11
Uzbekistan,2020-02-29,11.11
Uzbekistan,2020-03-01,16.67
Uzbekistan,2020-03-02,16.67
Uzbekistan,2020-03-03,16.67
Uzbekistan,2020-03-04,16.67
Uzbekistan,2020-03-05,16.67
Uzbekistan,2020-03-06,16.67
Uzbekistan,2020-03-07,16.67
Uzbekistan,2020-03-08,16.67
Uzbekistan,2020-03-09,16.67
Uzbekistan,2020-03-10,16.67
Uzbekistan,2020-03-11,16.67
Uzbekistan,2020-03-12,16.67
Uzbekistan,2020-03-13,16.67
Uzbekistan,2020-03-14,16.67
Uzbekistan,2020-03-15,16.67
Uzbekistan,2020-03-16,60.19
Uzbekistan,2020-03-17,60.19
Uzbekistan,2020-03-18,60.19
Uzbekistan,2020-03-19,60.19
Uzbekistan,2020-03-20,60.19
Uzbekistan,2020-03-21,63.89
Uzbekistan,2020-03-22,63.89
Uzbekistan,2020-03-23,72.22
Uzbekistan,2020-03-24,80.56
Uzbekistan,2020-03-25,80.56
Uzbekistan,2020-03-26,80.56
Uzbekistan,2020-03-27,90.74
Uzbekistan,2020-03-28,90.74
Uzbekistan,2020-03-29,90.74
Uzbekistan,2020-03-30,90.74
Uzbekistan,2020-03-31,90.74
Uzbekistan,2020-04-01,90.74
Uzbekistan,2020-04-02,90.74
Uzbekistan,2020-04-03,90.74
Uzbekistan,2020-04-04,90.74
Uzbekistan,2020-04-05,90.74
Uzbekistan,2020-04-06,90.74
Uzbekistan,2020-04-07,90.74
Uzbekistan,2020-04-08,90.74
Uzbekistan,2020-04-09,90.74
Uzbekistan,2020-04-10,90.74
Uzbekistan,2020-04-11,90.74
Uzbekistan,2020-04-12,90.74
Uzbekistan,2020-04-13,90.74
Uzbekistan,2020-04-14,90.74
Uzbekistan,2020-04-15,90.74
Uzbekistan,2020-04-16,90.74
Uzbekistan,2020-04-17,90.74
Uzbekistan,2020-04-18,90.74
Uzbekistan,2020-04-19,90.74
Uzbekistan,2020-04-20,90.74
Uzbekistan,2020-04-21,90.74
Uzbekistan,2020-04-22,90.74
Uzbekistan,2020-04-23,90.74
Uzbekistan,2020-04-24,90.74
Uzbekistan,2020-04-25,90.74
Uzbekistan,2020-04-26,90.74
Uzbekistan,2020-04-27,90.74
Uzbekistan,2020-04-28,96.3
Uzbekistan,2020-04-29,96.3
Uzbekistan,2020-04-30,96.3
Uzbekistan,2020-05-01,96.3
Uzbekistan,2020-05-02,96.3
Uzbekistan,2020-05-03,96.3
Uzbekistan,2020-05-04,96.3
Uzbekistan,2020-05-05,96.3
Uzbekistan,2020-05-06,96.3
Uzbekistan,2020-05-07,96.3
Uzbekistan,2020-05-08,88.89
Uzbekistan,2020-05-09,88.89
Uzbekistan,2020-05-10,88.89
Uzbekistan,2020-05-11,88.89
Uzbekistan,2020-05-12,88.89
Uzbekistan,2020-05-13,88.89
Uzbekistan,2020-05-14,88.89
Uzbekistan,2020-05-15,88.89
Uzbekistan,2020-05-16,88.89
Uzbekistan,2020-05-17,88.89
Uzbekistan,2020-05-18,86.11
Uzbekistan,2020-05-19,86.11
Uzbekistan,2020-05-20,86.11
Uzbekistan,2020-05-21,86.11
Uzbekistan,2020-05-22,86.11
Uzbekistan,2020-05-23,86.11
Uzbekistan,2020-05-24,86.11
Uzbekistan,2020-05-25,86.11
Uzbekistan,2020-05-26,86.11
Uzbekistan,2020-05-27,86.11
Uzbekistan,2020-05-28,86.11
Uzbekistan,2020-05-29,86.11
Uzbekistan,2020-05-30,86.11
Uzbekistan,2020-05-31,86.11
Uzbekistan,2020-06-01,81.94
Uzbekistan,2020-06-02,81.94
Uzbekistan,2020-06-03,81.94
Uzbekistan,2020-06-04,81.94
Uzbekistan,2020-06-05,76.39
Uzbekistan,2020-06-06,76.39
Uzbekistan,2020-06-07,76.39
Uzbekistan,2020-06-08,76.39
Uzbekistan,2020-06-09,76.39
Uzbekistan,2020-06-10,76.39
Uzbekistan,2020-06-11,76.39
Uzbekistan,2020-06-12,76.39
Uzbekistan,2020-06-13,76.39
Uzbekistan,2020-06-14,76.39
Uzbekistan,2020-06-15,70.83
Uzbekistan,2020-06-16,70.83
Uzbekistan,2020-06-17,70.83
Uzbekistan,2020-06-18,70.83
Uzbekistan,2020-06-19,68.06
Uzbekistan,2020-06-20,68.06
Uzbekistan,2020-06-21,68.06
Uzbekistan,2020-06-22,68.06
Uzbekistan,2020-06-23,68.06
Uzbekistan,2020-06-24,68.06
Uzbekistan,2020-06-25,68.06
Uzbekistan,2020-06-26,68.06
Uzbekistan,2020-06-27,68.06
Uzbekistan,2020-06-28,68.06
Uzbekistan,2020-06-29,68.06
Uzbekistan,2020-06-30,68.06
Uzbekistan,2020-07-01,68.06
Uzbekistan,2020-07-02,68.06
Uzbekistan,2020-07-03,68.06
Uzbekistan,2020-07-04,68.06
Uzbekistan,2020-07-05,68.06
Uzbekistan,2020-07-06,68.06
Uzbekistan,2020-07-07,68.06
Uzbekistan,2020-07-08,68.06
Uzbekistan,2020-07-09,68.06
Uzbekistan,2020-07-10,68.06
Uzbekistan,2020-07-11,68.06
Uzbekistan,2020-07-12,68.06
Uzbekistan,2020-07-13,71.3
Uzbekistan,2020-07-14,71.3
Uzbekistan,2020-07-15,71.3
Uzbekistan,2020-07-16,71.3
Uzbekistan,2020-07-17,71.3
Uzbekistan,2020-07-18,71.3
Uzbekistan,2020-07-19,71.3
Uzbekistan,2020-07-20,71.3
Uzbekistan,2020-07-21,71.3
Uzbekistan,2020-07-22,71.3
Uzbekistan,2020-07-23,71.3
Uzbekistan,2020-07-24,71.3
Uzbekistan,2020-07-25,71.3
Uzbekistan,2020-07-26,71.3
Uzbekistan,2020-07-27,73.15
Uzbekistan,2020-07-28,73.15
Uzbekistan,2020-07-29,73.15
Uzbekistan,2020-07-30,73.15
Uzbekistan,2020-07-31,73.15
Uzbekistan,2020-08-01,73.15
Uzbekistan,2020-08-02,73.15
Uzbekistan,2020-08-03,73.15
Uzbekistan,2020-08-04,73.15
Uzbekistan,2020-08-05,73.15
Uzbekistan,2020-08-06,73.15
Uzbekistan,2020-08-07,73.15
Uzbekistan,2020-08-08,73.15
Uzbekistan,2020-08-09,73.15
Uzbekistan,2020-08-10,73.15
Uzbekistan,2020-08-11,73.15
Uzbekistan,2020-08-12,73.15
Uzbekistan,2020-08-13,73.15
Uzbekistan,2020-08-14,73.15
Uzbekistan,2020-08-15,77.78
Uzbekistan,2020-08-16,77.78
Uzbekistan,2020-08-17,77.78
Uzbekistan,2020-08-18,77.78
Uzbekistan,2020-08-19,77.78
Uzbekistan,2020-08-20,72.22
Uzbekistan,2020-08-21,72.22
Uzbekistan,2020-08-22,72.22
Uzbekistan,2020-08-23,72.22
Uzbekistan,2020-08-24,72.22
Uzbekistan,2020-08-25,72.22
Uzbekistan,2020-08-26,72.22
Uzbekistan,2020-08-27,72.22
Uzbekistan,2020-08-28,72.22
Uzbekistan,2020-08-29,72.22
Uzbekistan,2020-08-30,72.22
Uzbekistan,2020-08-31,72.22
Uzbekistan,2020-09-01,72.22
Uzbekistan,2020-09-02,72.22
Uzbekistan,2020-09-03,72.22
Uzbekistan,2020-09-04,72.22
Uzbekistan,2020-09-05,72.22
Uzbekistan,2020-09-06,72.22
Uzbekistan,2020-09-07,68.52
Uzbekistan,2020-09-08,68.52
Uzbekistan,2020-09-09,68.52
Uzbekistan,2020-09-10,68.52
Uzbekistan,2020-09-11,68.52
Uzbekistan,2020-09-12,68.52
Uzbekistan,2020-09-13,68.52
Uzbekistan,2020-09-14,68.52
Uzbekistan,2020-09-15,68.52
Uzbekistan,2020-09-16,68.52
Uzbekistan,2020-09-17,68.52
Uzbekistan,2020-09-18,68.52
Uzbekistan,2020-09-19,68.52
Uzbekistan,2020-09-20,68.52
Uzbekistan,2020-09-21,68.52
Uzbekistan,2020-09-22,68.52
Uzbekistan,2020-09-23,68.52
Uzbekistan,2020-09-24,68.52
Uzbekistan,2020-09-25,68.52
Uzbekistan,2020-09-26,68.52
Uzbekistan,2020-09-27,68.52
Uzbekistan,2020-09-28,68.52
Uzbekistan,2020-09-29,68.52
Uzbekistan,2020-09-30,68.52
Uzbekistan,2020-10-01,68.52
Uzbekistan,2020-10-02,68.52
Uzbekistan,2020-10-03,68.52
Uzbekistan,2020-10-04,68.52
Uzbekistan,2020-10-05,68.52
Uzbekistan,2020-10-06,68.52
Uzbekistan,2020-10-07,68.52
Uzbekistan,2020-10-08,68.52
Uzbekistan,2020-10-09,68.52
Uzbekistan,2020-10-10,68.52
Uzbekistan,2020-10-11,68.52
Uzbekistan,2020-10-12,68.52
Uzbekistan,2020-10-13,68.52
Uzbekistan,2020-10-14,68.52
Uzbekistan,2020-10-15,68.52
