Entity,Date,Stringency Index (OxBSG)
Yemen,2020-01-01,0.0
Yemen,2020-01-02,0.0
Yemen,2020-01-03,0.0
Yemen,2020-01-04,0.0
Yemen,2020-01-05,0.0
Yemen,2020-01-06,0.0
Yemen,2020-01-07,0.0
Yemen,2020-01-08,0.0
Yemen,2020-01-09,0.0
Yemen,2020-01-10,0.0
Yemen,2020-01-11,0.0
Yemen,2020-01-12,0.0
Yemen,2020-01-13,0.0
Yemen,2020-01-14,0.0
Yemen,2020-01-15,0.0
Yemen,2020-01-16,0.0
Yemen,2020-01-17,0.0
Yemen,2020-01-18,0.0
Yemen,2020-01-19,0.0
Yemen,2020-01-20,0.0
Yemen,2020-01-21,0.0
Yemen,2020-01-22,0.0
Yemen,2020-01-23,0.0
Yemen,2020-01-24,0.0
Yemen,2020-01-25,0.0
Yemen,2020-01-26,0.0
Yemen,2020-01-27,0.0
Yemen,2020-01-28,0.0
Yemen,2020-01-29,0.0
Yemen,2020-01-30,0.0
Yemen,2020-01-31,0.0
Yemen,2020-02-01,0.0
Yemen,2020-02-02,0.0
Yemen,2020-02-03,0.0
Yemen,2020-02-04,0.0
Yemen,2020-02-05,0.0
Yemen,2020-02-06,0.0
Yemen,2020-02-07,0.0
Yemen,2020-02-08,0.0
Yemen,2020-02-09,0.0
Yemen,2020-02-10,0.0
Yemen,2020-02-11,0.0
Yemen,2020-02-12,0.0
Yemen,2020-02-13,0.0
Yemen,2020-02-14,0.0
Yemen,2020-02-15,0.0
Yemen,2020-02-16,0.0
Yemen,2020-02-17,0.0
Yemen,2020-02-18,0.0
Yemen,2020-02-19,0.0
Yemen,2020-02-20,0.0
Yemen,2020-02-21,0.0
Yemen,2020-02-22,0.0
Yemen,2020-02-23,0.0
Yemen,2020-02-24,0.0
Yemen,2020-02-25,0.0
Yemen,2020-02-26,0.0
Yemen,2020-02-27,0.0
Yemen,2020-02-28,0.0
Yemen,2020-02-29,0.0
Yemen,2020-03-01,0.0
Yemen,2020-03-02,0.0
Yemen,2020-03-03,0.0
Yemen,2020-03-04,0.0
Yemen,2020-03-05,0.0
Yemen,2020-03-06,0.0
Yemen,2020-03-07,0.0
Yemen,2020-03-08,0.0
Yemen,2020-03-09,0.0
Yemen,2020-03-10,0.0
Yemen,2020-03-11,0.0
Yemen,2020-03-12,0.0
Yemen,2020-03-13,0.0
Yemen,2020-03-14,0.0
Yemen,2020-03-15,11.11
Yemen,2020-03-16,11.11
Yemen,2020-03-17,22.22
Yemen,2020-03-18,33.33
Yemen,2020-03-19,33.33
Yemen,2020-03-20,33.33
Yemen,2020-03-21,38.89
Yemen,2020-03-22,38.89
Yemen,2020-03-23,38.89
Yemen,2020-03-24,38.89
Yemen,2020-03-25,38.89
Yemen,2020-03-26,38.89
Yemen,2020-03-27,38.89
Yemen,2020-03-28,38.89
Yemen,2020-03-29,38.89
Yemen,2020-03-30,38.89
Yemen,2020-03-31,38.89
Yemen,2020-04-01,38.89
Yemen,2020-04-02,38.89
Yemen,2020-04-03,38.89
Yemen,2020-04-04,38.89
Yemen,2020-04-05,38.89
Yemen,2020-04-06,38.89
Yemen,2020-04-07,38.89
Yemen,2020-04-08,38.89
Yemen,2020-04-09,38.89
Yemen,2020-04-10,40.74
Yemen,2020-04-11,40.74
Yemen,2020-04-12,40.74
Yemen,2020-04-13,40.74
Yemen,2020-04-14,40.74
Yemen,2020-04-15,40.74
Yemen,2020-04-16,40.74
Yemen,2020-04-17,40.74
Yemen,2020-04-18,40.74
Yemen,2020-04-19,40.74
Yemen,2020-04-20,40.74
Yemen,2020-04-21,40.74
Yemen,2020-04-22,40.74
Yemen,2020-04-23,40.74
Yemen,2020-04-24,40.74
Yemen,2020-04-25,40.74
Yemen,2020-04-26,40.74
Yemen,2020-04-27,40.74
Yemen,2020-04-28,40.74
Yemen,2020-04-29,40.74
Yemen,2020-04-30,52.78
Yemen,2020-05-01,58.33
Yemen,2020-05-02,58.33
Yemen,2020-05-03,58.33
Yemen,2020-05-04,58.33
Yemen,2020-05-05,56.48
Yemen,2020-05-06,56.48
Yemen,2020-05-07,56.48
Yemen,2020-05-08,56.48
Yemen,2020-05-09,56.48
Yemen,2020-05-10,56.48
Yemen,2020-05-11,56.48
Yemen,2020-05-12,56.48
Yemen,2020-05-13,56.48
Yemen,2020-05-14,56.48
Yemen,2020-05-15,56.48
Yemen,2020-05-16,56.48
Yemen,2020-05-17,56.48
Yemen,2020-05-18,56.48
Yemen,2020-05-19,56.48
Yemen,2020-05-20,56.48
Yemen,2020-05-21,56.48
Yemen,2020-05-22,56.48
Yemen,2020-05-23,56.48
Yemen,2020-05-24,56.48
Yemen,2020-05-25,56.48
Yemen,2020-05-26,56.48
Yemen,2020-05-27,56.48
Yemen,2020-05-28,58.33
Yemen,2020-05-29,58.33
Yemen,2020-05-30,58.33
Yemen,2020-05-31,58.33
Yemen,2020-06-01,58.33
Yemen,2020-06-02,58.33
Yemen,2020-06-03,58.33
Yemen,2020-06-04,58.33
Yemen,2020-06-05,58.33
Yemen,2020-06-06,58.33
Yemen,2020-06-07,58.33
Yemen,2020-06-08,58.33
Yemen,2020-06-09,58.33
Yemen,2020-06-10,58.33
Yemen,2020-06-11,58.33
Yemen,2020-06-12,58.33
Yemen,2020-06-13,58.33
Yemen,2020-06-14,58.33
Yemen,2020-06-15,58.33
Yemen,2020-06-16,58.33
Yemen,2020-06-17,58.33
Yemen,2020-06-18,58.33
Yemen,2020-06-19,58.33
Yemen,2020-06-20,58.33
Yemen,2020-06-21,58.33
Yemen,2020-06-22,58.33
Yemen,2020-06-23,58.33
Yemen,2020-06-24,58.33
Yemen,2020-06-25,58.33
Yemen,2020-06-26,58.33
Yemen,2020-06-27,58.33
