Entity,Date,Stringency Index (OxBSG)
Zambia,2020-01-01,0.0
Zambia,2020-01-02,0.0
Zambia,2020-01-03,0.0
Zambia,2020-01-04,0.0
Zambia,2020-01-05,0.0
Zambia,2020-01-06,0.0
Zambia,2020-01-07,0.0
Zambia,2020-01-08,0.0
Zambia,2020-01-09,0.0
Zambia,2020-01-10,0.0
Zambia,2020-01-11,0.0
Zambia,2020-01-12,0.0
Zambia,2020-01-13,0.0
Zambia,2020-01-14,0.0
Zambia,2020-01-15,0.0
Zambia,2020-01-16,0.0
Zambia,2020-01-17,0.0
Zambia,2020-01-18,0.0
Zambia,2020-01-19,0.0
Zambia,2020-01-20,0.0
Zambia,2020-01-21,0.0
Zambia,2020-01-22,0.0
Zambia,2020-01-23,0.0
Zambia,2020-01-24,0.0
Zambia,2020-01-25,0.0
Zambia,2020-01-26,0.0
Zambia,2020-01-27,0.0
Zambia,2020-01-28,0.0
Zambia,2020-01-29,0.0
Zambia,2020-01-30,0.0
Zambia,2020-01-31,0.0
Zambia,2020-02-01,0.0
Zambia,2020-02-02,0.0
Zambia,2020-02-03,0.0
Zambia,2020-02-04,0.0
Zambia,2020-02-05,0.0
Zambia,2020-02-06,0.0
Zambia,2020-02-07,0.0
Zambia,2020-02-08,0.0
Zambia,2020-02-09,0.0
Zambia,2020-02-10,0.0
Zambia,2020-02-11,0.0
Zambia,2020-02-12,0.0
Zambia,2020-02-13,0.0
Zambia,2020-02-14,0.0
Zambia,2020-02-15,0.0
Zambia,2020-02-16,0.0
Zambia,2020-02-17,0.0
Zambia,2020-02-18,0.0
Zambia,2020-02-19,0.0
Zambia,2020-02-20,0.0
Zambia,2020-02-21,16.67
Zambia,2020-02-22,16.67
Zambia,2020-02-23,16.67
Zambia,2020-02-24,16.67
Zambia,2020-02-25,16.67
Zambia,2020-02-26,16.67
Zambia,2020-02-27,16.67
Zambia,2020-02-28,16.67
Zambia,2020-02-29,16.67
Zambia,2020-03-01,16.67
Zambia,2020-03-02,16.67
Zambia,2020-03-03,16.67
Zambia,2020-03-04,16.67
Zambia,2020-03-05,16.67
Zambia,2020-03-06,16.67
Zambia,2020-03-07,16.67
Zambia,2020-03-08,16.67
Zambia,2020-03-09,16.67
Zambia,2020-03-10,16.67
Zambia,2020-03-11,16.67
Zambia,2020-03-12,16.67
Zambia,2020-03-13,16.67
Zambia,2020-03-14,16.67
Zambia,2020-03-15,16.67
Zambia,2020-03-16,16.67
Zambia,2020-03-17,16.67
Zambia,2020-03-18,16.67
Zambia,2020-03-19,16.67
Zambia,2020-03-20,27.78
Zambia,2020-03-21,27.78
Zambia,2020-03-22,27.78
Zambia,2020-03-23,27.78
Zambia,2020-03-24,27.78
Zambia,2020-03-25,27.78
Zambia,2020-03-26,36.11
Zambia,2020-03-27,41.67
Zambia,2020-03-28,41.67
Zambia,2020-03-29,47.22
Zambia,2020-03-30,47.22
Zambia,2020-03-31,47.22
Zambia,2020-04-01,47.22
Zambia,2020-04-02,47.22
Zambia,2020-04-03,47.22
Zambia,2020-04-04,47.22
Zambia,2020-04-05,47.22
Zambia,2020-04-06,47.22
Zambia,2020-04-07,47.22
Zambia,2020-04-08,47.22
Zambia,2020-04-09,50.93
Zambia,2020-04-10,50.93
Zambia,2020-04-11,50.93
Zambia,2020-04-12,50.93
